tweet_id,timestamp,rating_numerator,rating_denominator,name,dog_stage,favorite_count,retweet_count,jpg_url,img_num,breed
892177421306343426,2017-08-01 00:17:27,10,10,Tilly,,33819,6514,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua
891815181378084864,2017-07-31 00:18:03,10,10,Archie,,25461,4328,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua
891327558926688256,2017-07-29 16:00:24,10,10,Franklin,,41048,9774,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset
890609185150312448,2017-07-27 16:25:51,10,10,Zoey,,28226,4429,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier
890240255349198849,2017-07-26 15:59:51,10,10,Cassie,doggo,32467,7711,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke
890006608113172480,2017-07-26 00:31:25,10,10,Koda,,31166,7624,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed
889638837579907072,2017-07-25 00:10:02,10,10,Ted,,27672,4735,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog
889531135344209921,2017-07-24 17:02:04,10,10,Stuart,puppo,15359,2321,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever
889278841981685760,2017-07-24 00:19:32,10,10,Oliver,,25652,5637,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet
888917238123831296,2017-07-23 00:22:39,10,10,Jim,,29611,4709,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,golden_retriever
888804989199671297,2017-07-22 16:56:37,10,10,Zeke,,26080,4559,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,golden_retriever
888554962724278272,2017-07-22 00:23:06,10,10,Ralphus,,20290,3732,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian_husky
888078434458587136,2017-07-20 16:49:33,10,10,Gerald,,22201,3653,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French_bulldog
887705289381826560,2017-07-19 16:06:48,10,10,Jeffrey,,30779,5609,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,basset
887473957103951883,2017-07-19 00:47:34,10,10,Canela,,69871,18781,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,Pembroke
